BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
Heritage House Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=455&street=ABBOTT%20STREET;455;ABBOTT STREET;4;109;"{""coordinates"": [-123.10777511, 49.28139465], ""type"": ""Point""}";Downtown;49.28139465, -123.10777511
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=ABBOTT%20STREET;525;ABBOTT STREET;1;108;"{""coordinates"": [-123.1081018, 49.28083259], ""type"": ""Point""}";Downtown;49.28083259, -123.1081018
0707892 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=320&street=ABBOTT%20STREET;320;ABBOTT STREET;1;60;"{""coordinates"": [-123.10664756, 49.28261413], ""type"": ""Point""}";Downtown;49.28261413, -123.10664756
Central City Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=ABBOTT%20STREET;404;ABBOTT STREET;4;71;"{""coordinates"": [-123.10713559, 49.2816849], ""type"": ""Point""}";Downtown;49.2816849, -123.10713559
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=ABBOTT%20STREET;351;ABBOTT STREET;2;125;"{""coordinates"": [-123.10807734, 49.28271565], ""type"": ""Point""}";Downtown;49.28271565, -123.10807734
0730235 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1683&street=ADANAC%20STREET;1683;ADANAC STREET;7;21;"{""coordinates"": [-123.07088549, 49.27782724], ""type"": ""Point""}";Grandview-Woodland;49.27782724, -123.07088549
Lily Jang;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1785&street=ADANAC%20STREET;1785;ADANAC STREET;1;5;"{""coordinates"": [-123.06878722, 49.27780288], ""type"": ""Point""}";Grandview-Woodland;49.27780288, -123.06878722
Chew Leong Chow & Lai Kwan Chow;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1765&street=ADANAC%20STREET;1765;ADANAC STREET;1;6;"{""coordinates"": [-123.06915433, 49.27780715], ""type"": ""Point""}";Grandview-Woodland;49.27780715, -123.06915433
Entre Nous Femmes Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1656&street=ADANAC%20STREET;1656;ADANAC STREET;4;46;"{""coordinates"": [-123.07200187, 49.27733406], ""type"": ""Point""}";Grandview-Woodland;49.27733406, -123.07200187
0763658 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1050&street=ALBERNI%20STREET;1050;ALBERNI STREET;1;17;"{""coordinates"": [-123.12330459, 49.28465803], ""type"": ""Point""}";West End;49.28465803, -123.12330459
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=58&street=ALEXANDER%20STREET;58;ALEXANDER STREET;3;30;"{""coordinates"": [-123.1027163, 49.28344261], ""type"": ""Point""}";Downtown;49.28344261, -123.1027163
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=334&street=ALEXANDER%20STREET;334;ALEXANDER STREET;2;21;"{""coordinates"": [-123.09673373, 49.28377753], ""type"": ""Point""}";Strathcona;49.28377753, -123.09673373
1078022 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=ALEXANDER%20STREET;610;ALEXANDER STREET;6;46;"{""coordinates"": [-123.0910891, 49.28367106], ""type"": ""Point""}";Strathcona;49.28367106, -123.0910891
THE VETERANS MEMORIAL HOUSING SOCIETY;http://app.vancouver.ca/RPS_Net/Default.aspx?num=310&street=ALEXANDER%20STREET;310;ALEXANDER STREET;7;133;"{""coordinates"": [-123.0973628, 49.28378914], ""type"": ""Point""}";Strathcona;49.28378914, -123.0973628
